id,price,qty,quote_qty,time,is_buyer_maker
1040892,114794.9,0.009,1033.1541,1758587279363,true
1040893,114778.4,0.001,114.7784,1758587283018,true
1040894,114744.0,0.029,3327.576,1758587288031,false
1040895,114744.0,0.003,344.232,1758587288031,false
1040896,114744.0,0.002,229.488,1758587288031,false
1040897,114743.9,0.03,3442.317,1758587309739,true
1040898,114749.2,0.003,344.2476,1758587326954,false
1040899,114719.1,0.001,114.7191,1758587343022,false
1040900,114708.2,0.011,1261.7902,1758587360868,false
1040901,114708.2,0.001,114.7082,1758587360868,false
1040902,114712.3,0.003,344.1369,1758587360925,false
1040903,114712.4,0.036,4129.6464,1758587360925,false
1040904,114712.4,0.005,573.562,1758587360925,false
1040905,114719.6,0.054,6194.8584,1758587405472,false
1040906,114719.6,0.012,1376.6352,1758587405473,false
1040907,114696.5,0.003,344.0895,1758587466509,true
1040908,114696.5,0.003,344.0895,1758587466509,true
1040909,114696.5,0.008,917.572,1758587466510,true
1040910,114696.5,0.008,917.572,1758587466510,true
1040911,114696.5,0.001,114.6965,1758587466511,true
1040912,114696.5,0.007,802.8755,1758587466511,true
1040913,114668.6,0.01,1146.686,1758587499696,true
1040914,114636.9,0.001,114.6369,1758587583022,false
1040915,114642.4,0.019,2178.2056,1758587619211,false
1040916,114642.4,0.002,229.2848,1758587629984,true
1040917,114642.4,0.017,1948.9208,1758587630863,true
1040918,114622.6,0.002,229.2452,1758587686021,true
1040919,114603.5,0.001,114.6035,1758587994488,false
1040920,114603.5,0.039,4469.5365,1758587994488,false
1040921,114603.5,0.019,2177.4665,1758587994488,false
1040922,114600.0,0.001,114.6,1758588019101,true
1040923,114594.5,0.056,6417.292,1758588060491,false
1040924,114594.5,0.013,1489.7285,1758588060491,false
1040925,114594.5,0.014,1604.323,1758588060491,false
1040926,114570.7,0.001,114.5707,1758588171791,false
1040927,114531.2,0.001,114.5312,1758588243022,false
1040928,114520.3,0.002,229.0406,1758588257088,false
1040929,114520.2,0.001,114.5202,1758588317130,true
1040930,114505.1,0.002,229.0102,1758588328316,false
1040931,114505.1,0.001,114.5051,1758588328316,false
1040932,114505.1,0.007,801.5357,1758588328316,false
1040933,114505.1,0.007,801.5357,1758588328316,false
1040934,114505.9,0.019,2175.6121,1758588328324,false
1040935,114507.7,0.001,114.5077,1758588360748,true
1040936,114559.0,0.001,114.559,1758588483023,true
1040937,114512.2,0.001,114.5122,1758588510717,true
1040938,114506.1,0.001,114.5061,1758588543022,false
1040939,114465.5,0.029,3319.4995,1758588604958,false
1040940,114441.4,0.001,114.4414,1758588663020,false
1040941,114400.2,0.022,2516.8044,1758588710607,true
1040942,114400.0,0.001,114.4,1758588740114,true
1040943,114351.4,0.001,114.3514,1758588853510,true
1040944,114344.1,0.001,114.3441,1758588903018,false
1040945,114335.0,0.002,228.67,1758589019033,true
1040946,114338.3,0.001,114.3383,1758589023020,true
1040947,114359.7,0.138,15781.6386,1758589045352,false
1040948,114359.7,0.08,9148.776,1758589045352,false
1040949,114370.4,0.008,914.9632,1758589263178,false
1040950,114370.4,0.002,228.7408,1758589263180,false
1040951,114370.4,0.002,228.7408,1758589263181,false
1040952,114370.4,0.002,228.7408,1758589263183,false
1040953,114370.4,0.002,228.7408,1758589263185,false
1040954,114370.4,0.002,228.7408,1758589263186,false
1040955,114344.6,0.006,686.0676,1758589360825,true
1040956,114337.6,0.001,114.3376,1758589383024,false
1040957,114335.0,0.001,114.335,1758589399607,true
1040958,114334.9,0.001,114.3349,1758589400064,true
1040959,114366.7,0.001,114.3667,1758589563023,true
1040960,114358.9,0.002,228.7178,1758589587187,true
1040961,114356.1,0.001,114.3561,1758589640967,false
1040962,114346.2,0.021,2401.2702,1758589770791,true
1040963,114346.1,0.003,343.0383,1758589770791,true
1040964,114324.4,0.002,228.6488,1758589784904,true
1040965,114324.3,0.001,114.3243,1758589800271,true
1040966,114323.1,0.014,1600.5234,1758589800271,true
1040967,114329.5,0.006,685.977,1758589800394,false
1040968,114325.9,0.001,114.3259,1758589803024,false
1040969,114342.9,0.001,114.3429,1758589863021,true
1040970,114329.5,0.002,228.659,1758589892031,true
1040971,114323.9,0.001,114.3239,1758589923020,false
1040972,114313.7,0.001,114.3137,1758589925028,true
1040973,114300.0,0.001,114.3,1758589947362,true
1040974,114294.0,0.005,571.47,1758589947392,true
1040975,114275.7,0.001,114.2757,1758589953706,true
1040976,114269.1,0.014,1599.7674,1758589953706,true
1040977,114267.5,0.017,1942.5475,1758589953706,true
1040978,114265.2,0.009,1028.3868,1758589953706,true
1040979,114265.1,0.009,1028.3859,1758589953706,true
1040980,114261.4,0.009,1028.3526,1758589953706,true
1040981,114261.4,0.001,114.2614,1758589953706,true
1040982,114260.0,0.012,1371.12,1758589953706,true
1040983,114257.7,0.04,4570.308,1758589953706,true
1040984,114283.9,0.008,914.2712,1758589980415,true
1040985,114287.1,0.001,114.2871,1758589980774,false
1040986,114288.2,0.064,7314.4448,1758589980774,false
1040987,114300.7,0.001,114.3007,1758590101003,true
1040988,114282.3,0.017,1942.7991,1758590110134,false
1040989,114288.7,0.013,1485.7531,1758590124976,false
1040990,114339.0,0.001,114.339,1758590163020,true
1040991,114337.0,0.001,114.337,1758590223023,false
1040992,114351.0,0.012,1372.212,1758590230611,false
1040993,114351.0,0.007,800.457,1758590230611,false
1040994,114390.9,0.001,114.3909,1758590283029,true
1040995,114355.9,0.017,1944.0503,1758590392644,true
1040996,114355.8,0.02,2287.116,1758590392644,true
1040997,114351.0,0.05,5717.55,1758590394643,false
1040998,114385.5,0.001,114.3855,1758590424807,false
1040999,114443.8,0.001,114.4438,1758590514761,true
1041000,114469.7,0.001,114.4697,1758590583021,true
1041001,114421.1,0.001,114.4211,1758590623481,true
1041002,114432.4,0.001,114.4324,1758590880396,true
1041003,114441.9,0.001,114.4419,1758590883022,false
1041004,114444.1,0.001,114.4441,1758590940398,true
1041005,114444.1,0.001,114.4441,1758590943023,true
1041006,114454.4,0.02,2289.088,1758590951789,true
1041007,114451.2,0.004,457.8048,1758590951789,true
1041008,114457.4,0.001,114.4574,1758591000414,true
1041009,114455.2,0.001,114.4552,1758591028489,true
1041010,114455.2,0.01,1144.552,1758591028489,true
1041011,114453.0,0.01,1144.53,1758591028489,true
1041012,114452.9,0.015,1716.7935,1758591028489,true
1041013,114463.7,0.001,114.4637,1758591030947,false
1041014,114451.2,0.001,114.4512,1758591060406,true
1041015,114446.0,0.001,114.446,1758591123021,false
1041016,114398.2,0.001,114.3982,1758591180405,true
1041017,114399.1,0.011,1258.3901,1758591192258,true
1041018,114396.2,0.009,1029.5658,1758591192258,true
1041019,114395.9,0.01,1143.959,1758591192258,true
1041020,114353.8,0.001,114.3538,1758591300426,true
1041021,114353.9,0.001,114.3539,1758591348367,false
1041022,114355.4,0.001,114.3554,1758591397405,false
1041023,114353.8,0.001,114.3538,1758591413350,true
1041024,114345.4,0.001,114.3454,1758591419804,false
1041025,114340.5,0.001,114.3405,1758591451195,false
1041026,114324.2,0.001,114.3242,1758591483024,false
1041027,114318.5,0.001,114.3185,1758591498105,false
1041028,114319.1,0.001,114.3191,1758591524631,false
1041029,114315.2,0.001,114.3152,1758591572838,false
1041030,114253.8,0.001,114.2538,1758591629985,true
1041031,114250.2,0.001,114.2502,1758591637565,true
1041032,114253.8,0.001,114.2538,1758591660377,true
1041033,114245.0,0.003,342.735,1758591681846,true
1041034,114222.1,0.138,15762.6498,1758591745110,true
1041035,114222.1,0.002,228.4442,1758591745136,true
1041036,114222.1,0.035,3997.7735,1758591745146,true
1041037,114221.4,0.009,1027.9926,1758591745147,true
1041038,114219.7,0.019,2170.1743,1758591745157,true
1041039,114215.8,0.005,571.079,1758591745157,true
1041040,114212.8,0.006,685.2768,1758591745170,true
1041041,114212.8,0.002,228.4256,1758591745205,true
1041042,114200.0,0.001,114.2,1758591752059,true
1041043,114198.4,0.014,1598.7776,1758591752059,true
1041044,114198.4,0.004,456.7936,1758591752061,true
1041045,114198.4,0.012,1370.3808,1758591752064,true
1041046,114234.0,0.001,114.234,1758591783022,false
1041047,114221.4,0.001,114.2214,1758591800885,true
1041048,114221.4,0.001,114.2214,1758591800885,true
1041049,114217.4,0.002,228.4348,1758591801444,true
1041050,114219.9,0.001,114.2199,1758591848576,false
1041051,114235.5,0.001,114.2355,1758591963017,true
1041052,114256.6,0.001,114.2566,1758591986281,false
1041053,114256.6,0.001,114.2566,1758591988900,false
1041054,114270.9,0.002,228.5418,1758591989116,false
1041055,114280.0,0.001,114.28,1758592003012,true
1041056,114262.5,0.001,114.2625,1758592048238,false
1041057,114252.2,0.007,799.7654,1758592140420,true
1041058,114238.7,0.021,2399.0127,1758592164490,false
1041059,114239.2,0.004,456.9568,1758592164490,false
1041060,114218.1,0.001,114.2181,1758592203020,false
1041061,114169.6,0.021,2397.5616,1758592240555,true
1041062,114168.6,0.011,1255.8546,1758592240555,true
1041063,114168.5,0.096,10960.176,1758592240555,true
1041064,114167.1,0.001,114.1671,1758592240555,true
1041065,114165.0,0.008,913.32,1758592240555,true
1041066,114162.7,0.011,1255.7897,1758592240555,true
1041067,114159.0,0.016,1826.544,1758592240555,true
1041068,114158.9,0.013,1484.0657,1758592240555,true
1041069,114158.8,0.001,114.1588,1758592240555,true
1041070,114157.7,0.013,1484.0501,1758592240555,true
1041071,114157.6,0.011,1255.7336,1758592240555,true
1041072,114157.4,0.001,114.1574,1758592240555,true
1041073,114157.4,0.011,1255.7314,1758592240555,true
1041074,114155.7,0.019,2168.9583,1758592240555,true
1041075,114155.5,0.003,342.4665,1758592240555,true
1041076,114176.2,0.001,114.1762,1758592263025,true
1041077,114164.7,0.011,1255.8117,1758592263025,true
1041078,114160.8,0.013,1484.0904,1758592263025,true
1041079,114160.8,0.001,114.1608,1758592263025,true
1041080,114158.8,0.001,114.1588,1758592267958,true
1041081,114157.3,0.001,114.1573,1758592267958,true
1041082,114153.8,0.001,114.1538,1758592267958,true
1041083,114148.8,0.013,1483.9344,1758592267958,true
1041084,114148.7,0.024,2739.5688,1758592267958,true
1041085,114138.8,0.001,114.1388,1758592282755,true
1041086,114138.8,0.134,15294.5992,1758592299842,false
1041087,114157.0,0.001,114.157,1758592315964,true
1041088,114148.8,0.028,3196.1664,1758592315964,true
1041089,114158.5,0.001,114.1585,1758592320880,true
1041090,114158.5,0.001,114.1585,1758592322420,true
1041091,114121.5,0.001,114.1215,1758592383066,true
1041092,114119.2,0.053,6048.3176,1758592383066,true
1041093,114090.4,0.001,114.0904,1758592384144,true
1041094,114087.6,0.02,2281.752,1758592384144,true
1041095,114081.0,0.073,8327.913,1758592384144,true
1041096,114134.8,0.02,2282.696,1758592420793,true
1041097,114132.6,0.008,913.0608,1758592440157,true
1041098,114132.6,0.014,1597.8564,1758592440399,true
1041099,114131.0,0.068,7760.908,1758592443022,true
1041100,114138.8,0.003,342.4164,1758592480424,true
1041101,114125.9,0.029,3309.6511,1758592480424,true
1041102,114139.1,0.034,3880.7294,1758592482726,true
1041103,114165.1,0.02,2283.302,1758592486284,false
1041104,114165.2,0.011,1255.8172,1758592486284,false
1041105,114155.4,0.001,114.1554,1758592490882,true
1041106,114149.1,0.001,114.1491,1758592500465,false
1041107,114136.1,0.011,1255.4971,1758592503021,true
1041108,114136.0,0.001,114.136,1758592503021,true
1041109,114132.0,0.013,1483.716,1758592503021,true
1041110,114131.9,0.004,456.5276,1758592503021,true
1041111,114124.6,0.001,114.1246,1758592520712,true
1041112,114122.5,0.013,1483.5925,1758592520712,true
1041113,114120.7,0.013,1483.5691,1758592520712,true
1041114,114120.6,0.009,1027.0854,1758592520712,true
1041115,114120.4,0.018,2054.1672,1758592521945,true
1041116,114132.5,0.001,114.1325,1758592562755,true
1041117,114132.5,0.019,2168.5175,1758592563018,true
1041118,114127.1,0.028,3195.5588,1758592577506,true
1041119,114117.0,0.017,1939.989,1758592623021,true
1041120,114107.3,0.021,2396.2533,1758592645080,false
1041121,114107.3,0.018,2053.9314,1758592645080,false
1041122,114107.4,0.013,1483.3962,1758592645080,false
1041123,114107.4,0.018,2053.9332,1758592645080,false
1041124,114107.5,0.018,2053.935,1758592645080,false
1041125,114107.5,0.013,1483.3975,1758592645080,false
1041126,114113.3,0.002,228.2266,1758592645090,false
1041127,114113.3,0.006,684.6798,1758592645092,false
1041128,114095.6,0.009,1026.8604,1758592645249,true
1041129,114094.0,0.001,114.094,1758592645249,true
1041130,114129.6,0.001,114.1296,1758592659237,true
1041131,114124.6,0.001,114.1246,1758592659237,true
1041132,114124.6,0.002,228.2492,1758592659237,true
1041133,114138.1,0.007,798.9667,1758592675026,false
1041134,114138.2,0.005,570.691,1758592675026,false
1041135,114139.1,0.014,1597.9474,1758592683023,true
1041136,114138.9,0.014,1597.9446,1758592691161,true
1041137,114138.8,0.001,114.1388,1758592691161,true
1041138,114129.6,0.007,798.9072,1758592691161,true
1041139,114113.2,0.001,114.1132,1758592731560,true
1041140,114113.2,0.001,114.1132,1758592731560,true
1041141,114114.1,0.017,1939.9397,1758592743020,true
1041142,114102.6,0.011,1255.1286,1758592760808,true
1041143,114113.7,0.001,114.1137,1758592793130,true
1041144,114133.2,0.001,114.1332,1758592803026,true
1041145,114127.4,0.006,684.7644,1758592803026,true
1041146,114158.8,0.001,114.1588,1758592812626,true
1041147,114157.2,0.001,114.1572,1758592812626,true
1041148,114157.2,0.006,684.9432,1758592812626,true
1041149,114147.4,0.001,114.1474,1758592848187,true
1041150,114145.1,0.003,342.4353,1758592848187,true
1041151,114182.4,0.002,228.3648,1758592871372,false
1041152,114199.4,0.021,2398.1874,1758592871682,false
1041153,114220.0,0.007,799.54,1758592879055,false
1041154,114220.1,0.008,913.7608,1758592879055,false
1041155,114273.0,0.01,1142.73,1758592906466,false
1041156,114273.0,0.003,342.819,1758592906466,false
1041157,114261.5,0.026,2970.799,1758592918040,true
1041158,114261.5,0.049,5598.8135,1758592918077,true
1041159,114261.5,0.007,799.8305,1758592918082,true
1041160,114261.5,0.002,228.523,1758592918126,true
1041161,114261.5,0.002,228.523,1758592918131,true
1041162,114261.5,0.016,1828.184,1758592918160,true
1041163,114261.5,0.002,228.523,1758592918168,true
1041164,114261.5,0.004,457.046,1758592918171,true
1041165,114261.5,0.006,685.569,1758592918187,true
1041166,114261.5,0.002,228.523,1758592918194,true
1041167,114231.9,0.001,114.2319,1758592921402,false
1041168,114231.9,0.001,114.2319,1758592921402,false
1041169,114236.6,0.002,228.4732,1758592921439,false
1041170,114245.8,0.001,114.2458,1758592921442,false
1041171,114254.2,0.01,1142.542,1758592921442,false
1041172,114257.3,0.001,114.2573,1758592921442,false
1041173,114261.2,0.001,114.2612,1758592921442,false
1041174,114211.7,0.003,342.6351,1758592966127,false
1041175,114211.7,0.001,114.2117,1758592966127,false
1041176,114218.7,0.004,456.8748,1758592973614,false
1041177,114231.3,0.001,114.2313,1758592978666,false
1041178,114270.1,0.006,685.6206,1758593049873,true
1041179,114270.1,0.002,228.5402,1758593049873,true
1041180,114270.1,0.002,228.5402,1758593049878,true
1041181,114270.1,0.009,1028.4309,1758593049883,true
1041182,114270.1,0.002,228.5402,1758593049893,true
1041183,114270.1,0.004,457.0804,1758593049894,true
1041184,114270.1,0.002,228.5402,1758593049894,true
1041185,114270.1,0.009,1028.4309,1758593049904,true
1041186,114270.1,0.006,685.6206,1758593049909,true
1041187,114205.5,0.002,228.411,1758593094261,false
1041188,114283.9,0.004,457.1356,1758593252410,false
1041189,114283.9,0.022,2514.2458,1758593252410,false
1041190,114286.6,0.175,20000.155,1758593264067,false
1041191,114276.9,0.001,114.2769,1758593281839,false
1041192,114276.9,0.001,114.2769,1758593281839,false
1041193,114276.9,0.001,114.2769,1758593281839,false
1041194,114283.1,0.001,114.2831,1758593283025,true
1041195,114250.5,0.002,228.501,1758593304214,false
1041196,114250.5,0.001,114.2505,1758593304214,false
1041197,114271.9,0.001,114.2719,1758593327036,false
1041198,114274.7,0.001,114.2747,1758593343017,false
1041199,114283.5,0.001,114.2835,1758593367239,false
1041200,114286.9,0.01,1142.869,1758593367239,false
1041201,114283.1,0.175,19999.5425,1758593370731,false
1041202,114307.8,0.003,342.9234,1758593381594,false
1041203,114307.8,0.007,800.1546,1758593381594,false
1041204,114307.8,0.01,1143.078,1758593381594,false
1041205,114307.8,0.008,914.4624,1758593381594,false
1041206,114307.8,0.002,228.6156,1758593381594,false
1041207,114307.8,0.01,1143.078,1758593381594,false
1041208,114307.8,0.01,1143.078,1758593381594,false
1041209,114307.8,0.003,342.9234,1758593381607,false
1041210,114307.8,0.001,114.3078,1758593381652,false
1041211,114309.0,0.01,1143.09,1758593381681,false
1041212,114309.0,0.01,1143.09,1758593381681,false
1041213,114309.0,0.004,457.236,1758593381681,false
1041214,114337.8,0.011,1257.7158,1758593391097,false
1041215,114331.3,0.001,114.3313,1758593391569,false
1041216,114345.9,0.004,457.3836,1758593400428,false
1041217,114346.3,0.001,114.3463,1758593400451,false
1041218,114365.0,0.001,114.365,1758593402656,true
1041219,114368.2,0.001,114.3682,1758593403017,true
1041220,114380.2,0.018,2058.8436,1758593406310,false
1041221,114381.7,0.011,1258.1987,1758593406313,false
1041222,114386.7,0.01,1143.867,1758593406328,false
1041223,114400.0,0.001,114.4,1758593406428,false
1041224,114423.0,0.006,686.538,1758593407272,false
1041225,114429.6,0.001,114.4296,1758593407272,false
