agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253428,114661.3,127.0,2178924,2178927,1758586923733,false
1253429,114661.3,22.0,2178928,2178928,1758586924159,false
1253430,114661.3,13.0,2178929,2178930,1758586924451,false
1253431,114661.3,13.0,2178931,2178931,1758586924971,false
1253432,114697.1,5.0,2178932,2178932,1758586986636,true
1253433,114674.4,5.0,2178933,2178934,1758587005838,false
1253434,114731.6,59.0,2178935,2178936,1758587144135,true
1253435,114731.6,3.0,2178937,2178937,1758587144248,true
1253436,114716.0,65.0,2178938,2178939,1758587164156,false
1253437,114731.7,3.0,2178940,2178940,1758587171906,false
1253438,114741.3,220.0,2178941,2178942,1758587176693,false
1253439,114765.6,118.0,2178943,2178946,1758587183940,false
1253440,114766.2,1.0,2178947,2178947,1758587183941,false
1253441,114767.2,2.0,2178948,2178948,1758587183942,false
1253442,114767.2,1.0,2178949,2178949,1758587185124,false
1253443,114777.6,3.0,2178950,2178950,1758587215503,true
1253444,114763.5,4.0,2178951,2178952,1758587230703,false
1253445,114844.7,4.0,2178953,2178954,1758587266654,true
1253446,114831.6,3.0,2178955,2178955,1758587279306,true
1253447,114769.5,2.0,2178956,2178956,1758587288179,false
1253448,114769.4,3.0,2178957,2178957,1758587309766,true
1253449,114749.2,3.0,2178958,2178959,1758587315154,false
1253450,114766.2,3.0,2178960,2178960,1758587315272,false
1253451,114777.6,3.0,2178961,2178962,1758587332506,true
1253452,114777.5,20.0,2178963,2178972,1758587332557,true
1253453,114777.5,2.0,2178973,2178973,1758587332675,true
1253454,114777.3,23.0,2178974,2178977,1758587332840,true
1253455,114776.1,1.0,2178978,2178978,1758587332844,true
1253456,114776.1,48.0,2178979,2178981,1758587333208,true
1253457,114752.0,3.0,2178982,2178982,1758587401169,true
1253458,114729.1,3.0,2178983,2178983,1758587401520,false
1253459,114743.2,4.0,2178984,2178985,1758587405374,false
1253460,114763.5,3.0,2178986,2178987,1758587460077,true
1253461,114732.0,58.0,2178988,2178988,1758587466500,true
1253462,114715.5,66.0,2178989,2178989,1758587474795,true
1253463,114698.8,10.0,2178990,2178991,1758587488618,false
1253464,114698.8,104.0,2178992,2178996,1758587525803,false
1253465,114699.8,17.0,2178997,2178997,1758587525803,false
1253466,114699.9,58.0,2178998,2178998,1758587525803,false
1253467,114704.1,2.0,2178999,2178999,1758587525803,false
1253468,114708.2,26.0,2179000,2179000,1758587525803,false
1253469,114708.1,64.0,2179001,2179004,1758587527558,true
1253470,114692.4,3.0,2179005,2179006,1758587546502,true
1253471,114674.3,4.0,2179007,2179007,1758587686033,true
1253472,114674.2,265.0,2179008,2179010,1758587686034,true
1253473,114639.7,36.0,2179011,2179012,1758587687895,false
1253474,114651.2,5.0,2179013,2179013,1758587695331,false
1253475,114662.6,3.0,2179014,2179014,1758587704016,true
1253476,114662.7,17.0,2179015,2179015,1758587713569,false
1253477,114662.7,42.0,2179016,2179017,1758587713849,false
1253478,114662.7,1.0,2179018,2179018,1758587714852,false
1253479,114685.6,63.0,2179019,2179020,1758587761502,true
1253480,114663.8,4.0,2179021,2179021,1758587765417,true
1253481,114632.5,48.0,2179022,2179030,1758587788067,false
1253482,114632.5,7.0,2179031,2179033,1758587788202,false
1253483,114662.7,12.0,2179034,2179038,1758587932449,false
1253484,114674.1,6.0,2179039,2179039,1758587973432,true
1253485,114642.5,1.0,2179040,2179040,1758588019090,true
1253486,114642.5,8.0,2179041,2179045,1758588020101,true
1253487,114578.5,51.0,2179046,2179049,1758588043838,false
1253488,114593.7,3.0,2179050,2179051,1758588048125,false
1253489,114616.7,3.0,2179052,2179052,1758588060414,false
1253490,114661.0,3.0,2179053,2179053,1758588083487,true
1253491,114632.7,14.0,2179054,2179067,1758588092052,true
1253492,114619.2,3.0,2179068,2179068,1758588108078,false
1253493,114620.1,16.0,2179069,2179069,1758588108078,false
